scraper_name,min_date,max_date,total,scraper_type,development status,deployment,id,domain,memo,Total,Last,Scraped,Downloaded,Scraped_Percentage,Downloaded_Percentage,Completed Flag,,New,Scraped,Downloaded,Scraped_Percentage,Downloaded_Percentage,Change,Scraped,Downloaded,Scraped_Percentage,Downloaded_Percentage, 
Barrow,2012-11-26,2024-02-12,4930,Custom,, ,20,, ,4903.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Basildon,2006-12-01,2024-02-16,25534,Idox,Scraper Gen1*, ,21,,many applications are unavailable in 2006,25393.0,,23710,23610,93.37%,92.98%,,- see memo,,23710,23610,93.37%,92.98%,,0.0,0.0,0.00%,0.00%,
Basingstoke,2000-01-05,2024-02-16,57163,Idox,Scraper Gen1., ,22,, ,56932.0,,56663,56327,99.53%,98.94%,,-,,56663,56327,99.53%,98.94%,,0.0,0.0,0.00%,0.00%,
Bassetlaw,2002-01-07,2024-02-08,28462,Idox,Scraper Gen1, ,23,,,28349.0,,28334,26841,99.95%,94.68%,,-,,28334,26841,99.95%,94.68%,,0.0,0.0,0.00%,0.00%,
Bath,1999-07-01,2024-02-15,87276,Custom,, ,24,, ,86855.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Bedford,2000-10-02,2024-02-16,63360,Idox,Scraper Gen,x,25,, ,63132.0,,28928,22490,45.82%,35.62%,,,,30513,23782,48.33%,37.67%,,1585.0,1292.0,2.51%,2.05%,
Belfast,1999-02-25,2024-02-13,50415,NIPortal,, ,26,, ,50102.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Bexley,2002-06-05,2024-02-14,56202,Idox,Scraper Gen1,part,27,pa.bexley.gov.uk/, ,55969.0,,55927.0,19128.0,99.92%,34.18%,,-,,55927.0,19128.0,99.92%,34.18%,,0.0,0.0,0.00%,0.00%,
Birmingham,2000-01-04,2024-02-14,175251,PlanningExplorer,, ,28,eplanning.birmingham.gov.uk, ,174528.0,,18921,16401,10.84%,9.40%,,,,18921,16401,10.84%,9.40%,,0.0,0.0,0.00%,0.00%,
Blaby,2002-01-03,2024-02-15,22658,Idox,Scraper Gen1, ,29,, ,22575.0,,22264,22030,98.62%,97.59%,1,-,,22264,22030,98.62%,97.59%,,0.0,0.0,0.00%,0.00%,
Blackburn,2000-03-27,2024-02-14,29777,PlanningExplorer,, ,30,, ,29684.0,,25626,20990,86.33%,70.71%,,,,25626,20990,86.33%,70.71%,,0.0,0.0,0.00%,0.00%,
Blackpool,2002-05-23,2024-02-08,16780,Idox,Not ready (Load failed - 14),x,31,, ,16181.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
BlaenauGwent,2015-01-06,2024-01-24,3212,Custom,, ,32,, ,2919.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Bolsover,2002-05-23,2024-02-13,15769,Idox,Scraper Gen1, ,33,, ,15714.0,,14197,12900,90.35%,82.09%,,- see memo,,14197,12900,90.35%,82.09%,,0.0,0.0,0.00%,0.00%,
Bolton,1999-04-25,2024-02-16,56363,Idox,Not ready (Doc Load failed - 16),x,34,, ,56133.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Boston,2000-01-03,2024-02-15,15912,Custom,, ,35,, ,15845.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Bournemouth,1999-12-29,2024-02-13,54960,Custom,, ,36,, ,54728.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Bracknell,2003-01-06,2024-02-16,30690,Idox,Scraper Gen1, ,37,, ,30549.0,,30442,28200,99.65%,92.31%,,-,,30442,28200,99.65%,92.31%,,0.0,0.0,0.00%,0.00%,
Bradford,2000-08-04,2024-02-16,117305,Idox,Scraper Gen1*, ,38,, ,116952.0,,112831,103128,96.48%,88.18%,,- see memo,,112831,103128,96.48%,88.18%,,0.0,0.0,0.00%,0.00%,
Braintree,2002-05-28,2023-11-29,53960,Idox,Not ready (reCaptcha - 19),x,39,, ,53960.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Breckland,1999-12-29,2024-02-15,48081,Ocella,, ,40,, ,47870.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
BreconBeacons,2002-07-15,2024-02-14,11517,Idox,Scraper Gen1*, ,41,, ,11466.0,,11155,10780,97.29%,94.02%,,- see memo,,11155,10780,97.29%,94.02%,,0.0,0.0,0.00%,0.00%,
Brent,1999-11-05,2024-01-25,96017,Idox,Not ready (reCaptcha doc - 21),x,42,, ,95878.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Brentwood,2002-05-23,2024-02-13,34426,Idox,Scraper Gen1, ,43,, ,34301.0,,34030,32363,99.21%,94.35%,,-,,34030,32363,99.21%,94.35%,,0.0,0.0,0.00%,0.00%,
Bridgend,1999-01-13,2024-02-15,30154,Atrium,, ,44,, ,30087.0,,29256,23232,97.24%,77.22%,,"2003, 2021-2022",,29256,23232,97.24%,77.22%,,0.0,0.0,0.00%,0.00%,
Brighton,1999-11-17,2024-02-14,91699,Idox,Scraper Gen1, ,45,,Under site maintenance,91414.0,,82278,75392,90.01%,82.47%,,"2000-2002, 2018",,82278,75392,90.01%,82.47%,,0.0,0.0,0.00%,0.00%,
Bristol,2000-01-05,2024-02-16,122007,Idox,Scraper Gen1,no rotation.,46,, ,121544.0,,120821,120143,99.41%,98.85%,,-,,120821,120143,99.41%,98.85%,,0.0,0.0,0.00%,0.00%,
Broads,2000-01-06,2024-02-09,8691,Idox,Not ready (new doc system 25),x,47,, ,8657.0,,18,18,0.21%,0.21%,,,,18,18,0.21%,0.21%,,0.0,0.0,0.00%,0.00%,
Bromley,2000-01-05,2024-02-15,115814,Idox,Scraper Gen1, ,48,, ,115316.0,,115252,108817,99.94%,94.36%,,-,,115252,108817,99.94%,94.36%,,0.0,0.0,0.00%,0.00%,
BromsgroveRedditch,2002-05-23,2024-02-16,33999,Idox,Scraper Gen1, ,49,, ,33906.0,,33399,32687,98.50%,96.40%,,-,,33399,32687,98.50%,96.40%,,0.0,0.0,0.00%,0.00%,
Broxbourne,2001-07-19,2024-02-16,26156,EnterpriseStore,, ,50,, ,26005.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Broxtowe,1999-01-25,2024-02-12,22262,Idox,Scraper Gen1, ,51,, ,22198.0,,21121,17027,95.15%,76.71%,,-,,21121,17027,95.15%,76.71%,,0.0,0.0,0.00%,0.00%,
Buckinghamshire,2002-03-28,2024-01-17,1640,Idox,Scraper Gen1, ,52,, ,1639.0,,1637,1610,99.88%,98.23%,1,-,,1637,1610,99.88%,98.23%,,0.0,0.0,0.00%,0.00%,
Burnley,1999-12-02,2024-02-12,14774,Idox,Scraper Gen1,part,53,publicaccess.burnley.gov.uk/,Applications available since 2001 and 2003,14666.0,,12516.0,12216.0,85.34%,83.29%,,2000-2002,,12516.0,12216.0,85.34%,83.29%,,0.0,0.0,0.00%,0.00%,
Bury,2000-01-04,2024-02-15,32500,Idox,Scraper Gen2 (NEC 31), ,54,, ,32389.0,,32030,27851,98.89%,85.99%,,-,,32030,27851,98.89%,85.99%,,0.0,0.0,0.00%,0.00%,
Caerphilly,2000-01-05,2024-02-14,28215,Idox,Scraper Gen1*, ,55,, ,28110.0,,27378,27258,97.40%,96.97%,,-,,27378,27258,97.40%,96.97%,,0.0,0.0,0.00%,0.00%,
Cairngorms,2003-09-02,2024-02-13,9010,Idox,Scraper Gen1 (IP rotation 33),part,56,www.eplanningcnpa.co.uk, ,8983.0,,8882,8705,98.88%,96.91%,,-,,8882,8705,98.88%,96.91%,,0.0,0.0,0.00%,0.00%,
Calderdale,2002-05-23,2024-02-15,48067,Idox,Scraper Gen1, ,57,, ,47914.0,,47530,35371,99.20%,73.82%,,-,,47530,35371,99.20%,73.82%,,0.0,0.0,0.00%,0.00%,
Cambridge,1999-12-29,2024-02-15,55728,Idox,Scraper Gen1 (IP rotation 35), ,58,applications.greatercambridgeplanning.org, ,55439.0,,51045,41207,92.07%,74.33%,,"2015-2016, 2018-2023",,51045,41207,92.07%,74.33%,,0.0,0.0,0.00%,0.00%,
Cambridgeshire,1999-03-17,2024-02-02,2583,Idox,Scraper Gen,x,59,, ,2576.0,,2489,2044,96.62%,79.35%,,,,2489,2044,96.62%,79.35%,,0.0,0.0,0.00%,0.00%,
Camden,1999-11-17,2024-02-15,125805,PlanningExplorer,, ,60,, ,125477.0,,102733,87019,81.87%,69.35%,,,,103018,87202,82.10%,69.50%,,285.0,183.0,0.23%,0.15%,
CannockChase,1999-01-12,2024-02-15,14529,Agile,, ,61,, ,14485.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Canterbury,2000-01-05,2024-01-11,60077,Idox,Scraper Gen,x,62,,"the domain of some unavailable applications is 'publicaccess.canterbury' (reported as url typo), while available applications have the domain 'pa.canterbury'.",60033.0,,53742,53102,89.52%,88.45%,,2000-2002,,53742,53102,89.52%,88.45%,,0.0,0.0,0.00%,0.00%,
Cardiff,2000-01-05,2024-02-12,70905,Idox,Scraper Gen,x,63,, ,70729.0,,21719,17271,30.71%,24.42%,,,,23036,18214,32.57%,25.75%,,1317.0,943.0,1.86%,1.33%,
Carlisle,2000-01-06,2024-01-29,31521,Idox,Not ready (reCaptcha doc 39),x,64,, ,31454.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Carmarthenshire,1999-10-26,2024-02-12,51357,Custom,, ,65,, ,51207.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
CastlePoint,1999-06-01,2024-02-13,20091,Idox,Scraper Gen1, ,66,, ,20029.0,,19734,18394,98.53%,91.84%,,-,,19734,18394,98.53%,91.84%,,0.0,0.0,0.00%,0.00%,
CausewayGlens,1999-05-19,2024-02-13,45032,NIPortal,, ,67,, ,44907.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
CentralBedfordshire,1999-12-29,2024-02-13,74294,Custom,, ,68,, ,74026.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Ceredigion,2000-01-04,2024-02-16,27316,Tascomi,, ,69,, ,27219.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Charnwood,2000-01-03,2024-02-16,60614,PlanningExplorer,, ,70,, ,60373.0,,47209,38617,78.20%,63.96%,,,,47821,39002,79.21%,64.60%,,612.0,385.0,1.01%,0.64%,
Chelmsford,2002-05-28,2024-02-16,66948,Idox,Scraper Gen2 (Civica 41), ,71,, ,66647.0,,65651,65651,98.51%,98.51%,1,-,,65651,65651,98.51%,98.51%,,0.0,0.0,0.00%,0.00%,
Cheltenham,2002-05-23,2024-02-15,41633,Idox,Scraper Gen1,all,72,publicaccess.cheltenham.gov.uk/, ,41454.0,,41429,39478,99.94%,95.23%,,-,,41429,39478,99.94%,95.23%,,0.0,0.0,0.00%,0.00%,
Cherwell,1999-07-01,2024-02-14,69420,Atrium,, ,73,, ,69099.0,,66184,57955,95.78%,83.87%,,2018,,66184,57955,95.78%,83.87%,,0.0,0.0,0.00%,0.00%,
CheshireEast,1999-12-29,2024-02-14,115358,Custom,, ,74,, ,114882.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Chester,2002-05-23,2024-02-15,100309,Idox,Scraper Gen1 (IP rotation 43),try with oxylabs,75,pa.cheshirewestandchester.gov.uk, ,100051.0,,94986.0,90286.0,94.94%,90.24%,,2020,,95042.0,90288.0,94.99%,90.24%,,56.0,2.0,0.06%,0.00%,
Chesterfield,2000-01-05,2024-02-13,19515,Idox,Scraper Gen1, ,76,, ,19444.0,,19148,18359,98.48%,94.42%,,-,,19148,18359,98.48%,94.42%,,0.0,0.0,0.00%,0.00%,
Chichester,2001-09-14,2024-02-09,59246,Idox,Scraper Gen1, ,77,, ,59095.0,,58552,52354,99.08%,88.59%,,-,,58552,52354,99.08%,88.59%,,0.0,0.0,0.00%,0.00%,
ChilternSouthBucks,2002-05-24,2024-02-14,93503,Idox,Scraper Gen,x,78,, ,93128.0,,26208,20903,28.14%,22.45%,,,,27823,22295,29.88%,23.94%,,1615.0,1392.0,1.73%,1.49%,
Chorley,2002-05-07,2024-02-13,26272,Idox,Not ready (new framework 47) ,x,79,, ,26194.0,,4792,3577,18.29%,13.66%,,,,5587,4228,21.33%,16.14%,,795.0,651.0,3.04%,2.49%,
Christchurch,1999-12-29,2024-02-14,20527,CCED,, ,80,, ,20430.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
City,2000-01-06,2024-02-08,24607,Idox,Scraper Gen1, ,81,, ,24516.0,,24481,18095,99.86%,73.81%,,-,,24481,18095,99.86%,73.81%,,0.0,0.0,0.00%,0.00%,
Clackmannanshire,2000-01-11,2024-02-13,7794,Idox,Scraper Gen1,part,82,publicaccess.clacks.gov.uk/,many applications are unavailable,7771.0,,6947,2998,89.40%,38.58%,,2000-2002,,6947,2998,89.40%,38.58%,,0.0,0.0,0.00%,0.00%,
Colchester,2000-01-04,2024-01-10,48573,Custom,, ,83,www.colchester.gov.uk, ,48537.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Conwy,1999-09-17,2024-02-15,27918,PlanningExplorer,, ,84,, ,27823.0,,23734,18651,85.30%,67.03%,,,,23734,18651,85.30%,67.03%,,0.0,0.0,0.00%,0.00%,
Copeland,2019-10-01,2024-02-13,1761,Custom,, ,85,, ,1704.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Corby,2002-05-24,2024-02-08,9932,Idox,Scraper Gen1, ,86,, ,9882.0,,9870,9747,99.88%,98.63%,,-,,9870,9747,99.88%,98.63%,,0.0,0.0,0.00%,0.00%,
Cornwall,1999-05-20,2024-02-15,289580,Idox,Scraper Gen1 (IP rotation 51),all,87,planning.cornwall.gov.uk, ,288429.0,,202838.0,189277.0,70.33%,65.62%,,"2003, 2005, 2007, 2012-2017",,202840.0,189278.0,70.33%,65.62%,,2.0,1.0,0.00%,0.00%,
Cotswold,2002-05-23,2024-02-13,67419,Idox,Scraper Gen1,add whitelist,88,publicaccess.cotswold.gov.uk, ,67148.0,,66723,53616,99.37%,79.85%,,- final check,,66723,53616,99.37%,79.85%,,0.0,0.0,0.00%,0.00%,
CountyDurham,1999-02-15,2024-02-15,109598,Idox,Scraper Gen1, ,89,, ,109272.0,,109133,105232,99.87%,96.30%,,-,,109133,105232,99.87%,96.30%,,0.0,0.0,0.00%,0.00%,
Coventry,1999-05-21,2024-02-14,62076,Tascomi,, ,90,, ,61841.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Craven,2000-01-05,2024-02-13,24253,Idox,Scraper Gen2 (north yorkshire 54) ,no rotation.,91,, ,24157.0,,22922,22835,94.89%,94.53%,,-,,22922,22835,94.89%,94.53%,,0.0,0.0,0.00%,0.00%,
Crawley,2000-01-06,2024-02-14,20420,Atrium,, ,92,, ,20361.0,,20318,18507,99.79%,90.89%,,-,,20318,18507,99.79%,90.89%,,0.0,0.0,0.00%,0.00%,
Croydon,1999-02-09,2024-02-15,101825,Idox,Scraper Gen1 since 2003,part,93,publicaccess3.croydon.gov.uk/, ,101493.0,,89563.0,86780.0,88.25%,85.50%,,"2000-2002, 2023",,89569.0,86786.0,88.25%,85.51%,,6.0,6.0,0.01%,0.01%,
Cumbria,1999-12-07,2024-02-02,2493,Atrium,, ,94,, ,2487.0,,2476,2351,99.56%,94.53%,,-,,2476,2351,99.56%,94.53%,,0.0,0.0,0.00%,0.00%,
Dacorum,2000-02-02,2024-02-16,57849,Idox,Scraper Gen1*,-x,95,,url typo reported by browser / many applications are unavailable,57605.0,,54140,53511,93.98%,92.89%,,2001-2002,,54140,53511,93.98%,92.89%,,0.0,0.0,0.00%,0.00%,
Darlington,2000-01-01,2024-02-12,24947,Idox,Scraper Gen1,part,96,publicaccess.darlington.gov.uk/, ,24846.0,,23607.0,22936.0,95.01%,92.31%,,2017-2018,,23607.0,22936.0,95.01%,92.31%,,0.0,0.0,0.00%,0.00%,
Dartford,2002-05-23,2024-02-15,26642,Idox,Scraper Gen1, ,97,, ,26535.0,,26282,26148,99.05%,98.54%,1,-,,26282,26148,99.05%,98.54%,,0.0,0.0,0.00%,0.00%,
Dartmoor,1999-12-13,2024-02-08,18285,Tascomi,, ,98,, ,18245.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Denbighshire,1999-09-12,2024-02-07,28319,CivicaJson,, ,99,, ,28281.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Derby,2002-05-24,2024-02-15,38441,Idox,Not ready (IP rotation 59 & document system),x,100,eplanning.derby.gov.uk, ,38221.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Derbyshire,1999-02-01,2024-01-22,3005,Atrium,, ,101,, ,2997.0,,2942,2857,98.16%,95.33%,,-,,2942,2857,98.16%,95.33%,,0.0,0.0,0.00%,0.00%,
DerbyshireDales,2002-01-03,2024-02-15,22666,Idox,Scraper Gen2 (NEC 60), ,102,, ,22533.0,,22399,20042,99.41%,88.95%,,-,,22399,20042,99.41%,88.95%,,0.0,0.0,0.00%,0.00%,
DerryStrabane,1999-05-04,2024-02-13,31350,NIPortal,, ,103,, ,31254.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Devon,1999-11-24,2024-02-08,3484,Custom,, ,104,, ,3477.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
DFISPD,2007-05-10,2024-02-09,366,NIPortal,, ,105,, ,361.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Doncaster,2001-11-23,2024-01-31,55116,Idox,Not ready (Page not found 61),x,106,, ,55008.0,,12547,9937,22.81%,18.06%,,,,13856,10877,25.19%,19.77%,,1309.0,940.0,2.38%,1.71%,
DorsetCouncil,1999-12-29,2024-02-16,171144,CCED,, ,107,, ,170034.0,,170034,151339,100.00%,89.01%,,-,,170034,151339,100.00%,89.01%,,0.0,0.0,0.00%,0.00%,
Dover,2002-05-23,2024-02-15,40651,Idox,Scraper Gen1,no rotation.,108,,"the domain of some unavailable applications is 'planning.dover' (reported as url typo), while available applications have the domain 'publicaccess.dover'.",40458.0,,38855,38438,96.04%,95.01%,,2006-2009,,38855,38438,96.04%,95.01%,,0.0,0.0,0.00%,0.00%,
Dudley,1999-12-30,2024-02-16,51099,SwiftLG,, ,109,, ,50927.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Dumfries,2002-03-26,2024-02-14,49568,Idox,Scraper Gen1,part,110,eaccess.dumgal.gov.uk/, ,49374.0,,42667.0,36018.0,86.42%,72.95%,,2023,,42667.0,36018.0,86.42%,72.95%,,0.0,0.0,0.00%,0.00%,
Dundee,2001-12-03,2024-02-15,18625,Idox,Scraper Gen1, ,111,, ,18522.0,,18338,13815,99.01%,74.59%,,-,,18338,13815,99.01%,74.59%,,0.0,0.0,0.00%,0.00%,
Ealing,1999-09-25,2024-02-15,120307,Idox,Scraper Gen1, ,112,, keyVal and PKID,119798.0,,118191,110379,98.66%,92.14%,,- final check,,118191,110379,98.66%,92.14%,,0.0,0.0,0.00%,0.00%,
EastAyrshire,2000-01-05,2024-02-13,24384,Idox,Scraper Gen1, ,113,eplanning.east-ayrshire.gov.uk/, ,24293.0,,24158,23743,99.44%,97.74%,1,-,,24158,23743,99.44%,97.74%,,0.0,0.0,0.00%,0.00%,
Eastbourne,1999-12-23,2024-02-13,23353,CivicaJson,, ,114,, ,23291.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
EastCambridgeshire,1999-02-04,2024-02-14,37105,Idox,Scraper Gen1 (IP rotation 67),try with oxylabs,115,pa.eastcambs.gov.uk, ,36931.0,,27292,24351,73.90%,65.94%,,"2000-2002, 2006-2009, 2022",,27292,24351,73.90%,65.94%,,0.0,0.0,0.00%,0.00%,
EastDevon,2002-05-23,2024-02-14,59101,Idox,Scraper Gen1, ,116,, ,58843.0,,58340,57728,99.15%,98.11%,1,-,,58340,57728,99.15%,98.11%,,0.0,0.0,0.00%,0.00%,
EastDunbartonshire,2000-10-08,2024-02-13,19740,Idox,Scraper Gen1, ,117,, ,19673.0,,19662,17312,99.94%,88.00%,,-,,19662,17312,99.94%,88.00%,,0.0,0.0,0.00%,0.00%,
EastHampshire,2000-01-01,2024-02-15,39207,Idox,Scraper Gen1, ,118,, ,39094.0,,39053,38440,99.90%,98.33%,1,-,,39053,38440,99.90%,98.33%,,0.0,0.0,0.00%,0.00%,
EastHertfordshire,2002-03-27,2024-02-14,54795,Idox,Scraper Gen1, ,119,, ,54517.0,,54450,51808,99.88%,95.03%,,-,,54450,51808,99.88%,95.03%,,0.0,0.0,0.00%,0.00%,
Eastleigh,1999-12-16,2024-02-13,37657,Custom,, ,120,, ,37521.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
EastLindsey,2002-02-04,2024-02-14,38384,Idox,Scraper Gen1, ,121,, ,38237.0,,36548,24516,95.58%,64.12%,,2019,,36548,24516,95.58%,64.12%,,0.0,0.0,0.00%,0.00%,
EastLothian,2002-05-23,2024-02-12,26560,Idox,Not ready (new framework 73) ,x,122,, ,26477.0,,5106,3481,19.28%,13.15%,,,,5686,3870,21.48%,14.62%,,580.0,389.0,2.19%,1.47%,
EastNorthamptonshire,2002-05-31,2024-02-15,27381,Idox,Not ready (Page not found 74),x,123,, ,27234.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
EastRenfrewshire,2002-05-23,2024-02-08,18428,Idox,Scraper Gen1, ,124,, ,18390.0,,18361,18348,99.84%,99.77%,1,-,,18361,18348,99.84%,99.77%,,0.0,0.0,0.00%,0.00%,
EastRiding,2004-11-16,2024-02-15,94035,Idox,Scraper Gen2 (missing 76),no rotation.,125,, ,93716.0,,92553,85617,98.76%,91.36%,,-,,92553,85617,98.76%,91.36%,,0.0,0.0,0.00%,0.00%,
EastStaffordshire,1999-12-20,2024-02-12,36051,PlanningExplorer,, ,126,, ,35937.0,,30915,25893,86.03%,72.05%,,,,30915,25893,86.03%,72.05%,,0.0,0.0,0.00%,0.00%,
EastSuffolk,2001-01-10,2024-02-14,85986,Idox,Scraper Gen1 (IP rotation 77),all,127,publicaccess.eastsuffolk.gov.uk, ,85673.0,,85446,73182,99.74%,85.42%,,-,,85446,73182,99.74%,85.42%,,0.0,0.0,0.00%,0.00%,
EastSussex,1999-12-10,2024-01-31,2300,Custom,, ,128,, ,2295.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Edinburgh,2001-02-07,2024-02-13,111379,Idox,Scraper Gen1*,part,129,citydev-portal.edinburgh.gov.uk/, ,110835.0,,107018.0,63288.0,96.56%,57.10%,,"2017, 2020",,107104.0,63289.0,96.63%,57.10%,,86.0,1.0,0.08%,0.00%,
Elmbridge,1999-01-22,2024-02-13,77872,Custom,, ,130,, ,74714.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Enfield,2000-05-08,2024-02-14,85887,Idox,Scraper Gen1,part,131,planningandbuildingcontrol.enfield.gov.uk/, ,85607.0,,85017.0,79527.0,99.31%,92.90%,,-,,85017.0,79527.0,99.31%,92.90%,,0.0,0.0,0.00%,0.00%,
EppingForest,1999-07-02,2024-02-14,64326,Custom,, ,132,, ,64072.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Epsom,2002-05-23,2024-02-14,31596,Idox,Scraper Gen1, ,133,, ,31475.0,,31446,31242,99.91%,99.26%,,-,,31446,31242,99.91%,99.26%,,0.0,0.0,0.00%,0.00%,
Erewash,2006-01-05,2024-02-15,13996,Custom,, ,134,, ,13926.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Essex,1999-11-05,2024-02-13,6664,Atrium,, ,135,, ,6621.0,,6537,6059,98.73%,91.51%,,-,,6537,6059,98.73%,91.51%,,0.0,0.0,0.00%,0.00%,
Exeter,2001-11-08,2024-02-13,29412,Idox,Not ready (new doc system 81),x,136,, ,29304.0,,6489,4275,22.14%,14.59%,,,,7054,4694,24.07%,16.02%,,565.0,419.0,1.93%,1.43%,
Exmoor,2004-12-06,2024-02-12,6730,Agile,, ,137,, ,6705.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Falkirk,2002-05-23,2024-02-13,19094,Idox,Scraper Gen1, ,138,, ,19027.0,,18983,18772,99.77%,98.66%,,-,,18983,18772,99.77%,98.66%,,0.0,0.0,0.00%,0.00%,
Fareham,1999-03-08,2024-02-13,38984,Ocella,, ,139,, ,38853.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Fenland,2000-01-06,2024-02-13,30680,Idox,Scraper Gen1,no rotation.,140,,Page isn’t working at the moment,30609.0,,27292,26269,89.16%,85.82%,,2000-2002,,27292,26269,89.16%,85.82%,,0.0,0.0,0.00%,0.00%,
FermanaghOmagh,1999-08-02,2024-02-15,47537,NIPortal,, ,141,, ,47445.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Fife,2002-05-23,2024-02-12,70493,Idox,Scraper Gen1, ,142,, ,70238.0,,70126,68397,99.84%,97.38%,,-,,70126,68397,99.84%,97.38%,,0.0,0.0,0.00%,0.00%,
Flintshire,1999-01-26,2024-02-14,33153,Agile,, ,143,, ,33054.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
FolkestoneHythe,1999-12-21,2024-02-05,33091,Custom,, ,144,, ,32988.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
ForestOfDean,2002-05-23,2024-02-13,32182,Idox,Scraper Gen1,part,145,publicaccess.fdean.gov.uk/, ,32087.0,,31951,28546,99.58%,88.96%,,-,,31951,28546,99.58%,88.96%,,0.0,0.0,0.00%,0.00%,
Fylde,1999-07-08,2024-02-14,25213,Atrium,, ,146,, ,25057.0,,23790,23665,94.94%,94.44%,,-,,23790,23665,94.94%,94.44%,,0.0,0.0,0.00%,0.00%,
Gateshead,2002-05-23,2024-02-16,29382,Idox,Scraper Gen2 (Civica 86), ,147,, ,29237.0,,29160,28416,99.74%,97.19%,1,-,,29160,28416,99.74%,97.19%,,0.0,0.0,0.00%,0.00%,
