scraper_name,min_date,max_date,total,scraper_type,development status,deployment,id,domain,memo,Total,Last,Scraped,Downloaded,Scraped_Percentage,Downloaded_Percentage,Completed Flag,,New,Scraped,Downloaded,Scraped_Percentage,Downloaded_Percentage,Change,Scraped,Downloaded,Scraped_Percentage,Downloaded_Percentage, 
Stoke,2000-08-03,2024-02-13,25212,Idox,Scraper Gen1, ,351,, ,25170.0,,25005,24308,99.34%,96.58%,,-,,25005,24308,99.34%,96.58%,,0.0,0.0,0.00%,0.00%,
StratfordOnAvon,2000-01-03,2024-02-15,75792,Custom,, ,352,, ,75543.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Stroud,2002-05-10,2024-02-16,52734,Idox,Scraper Gen2 (Dict -209), ,353,, ,52487.0,,52381,51884,99.80%,98.85%,,-,,52381,51884,99.80%,98.85%,,0.0,0.0,0.00%,0.00%,
Suffolk,1999-11-29,2024-02-02,5254,Atrium,, ,354,, ,5242.0,,5182,4932,98.86%,94.09%,,-,,5182,4932,98.86%,94.09%,,0.0,0.0,0.00%,0.00%,
Sunderland,1999-02-05,2024-02-15,38664,Idox,Scraper Gen1, ,355,, ,38511.0,,37622,32712,97.69%,84.94%,,2021,,37622,32712,97.69%,84.94%,,0.0,0.0,0.00%,0.00%,
Surrey,1999-07-28,2019-01-14,1879,Atrium,, ,356,, ,1879.0,,1856,1774,98.78%,94.41%,,-,,1856,1774,98.78%,94.41%,,0.0,0.0,0.00%,0.00%,
SurreyHeath,1999-01-05,2024-02-14,33390,Idox,Scraper Gen1,no rotation.,357,,Filter=%5ESYSTEMKEY%5E=,32384.0,,28864,28163,89.13%,86.97%,,"1999-2002, 2019",,28864,28163,89.13%,86.97%,,0.0,0.0,0.00%,0.00%,
Sutton,2000-01-05,2024-01-24,49900,Idox,Scraper Gen1,part,358,planningregister.sutton.gov.uk/, ,49820.0,,40189.0,39455.0,80.67%,79.20%,,"2000, 2012-2013, 2015-2017",,40189.0,39455.0,80.67%,79.20%,,0.0,0.0,0.00%,0.00%,
Swansea,1999-01-28,2024-02-15,55741,Idox,Scraper Gen1, ,359,property.swansea.gov.uk/, ,55495.0,,55181.0,53538.0,99.43%,96.47%,,- final check,,55181.0,53538.0,99.43%,96.47%,,0.0,0.0,0.00%,0.00%,
Swindon,2000-01-03,2024-02-15,43968,Idox,Scraper Gen1, ,360,,many applications are unavailable,43849.0,,42267,37120,96.39%,84.65%,,2013,,42267,37120,96.39%,84.65%,,0.0,0.0,0.00%,0.00%,
Tameside,2002-05-30,2024-02-16,29478,Idox,Scraper Gen1, ,361,, ,29349.0,,29287,28266,99.79%,96.31%,,-,,29287,28266,99.79%,96.31%,,0.0,0.0,0.00%,0.00%,
Tamworth,1999-12-23,2024-02-05,13161,PlanningExplorer,, ,362,, ,13133.0,,11228,8040,85.49%,61.22%,,,,11228,8040,85.49%,61.22%,,0.0,0.0,0.00%,0.00%,
Tandridge,1999-01-21,2024-02-16,43812,Custom,, ,363,, ,43641.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
TauntonDeane,2000-01-05,2024-02-14,37101,Custom,, ,364,, ,36991.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Teignbridge,1999-04-08,2024-02-15,49836,Idox,Scraper Gen2 (Dict -216),-x,365,,search page removed,49603.0,,36178,34262,72.94%,69.07%,,"2000-2002, 2011-2014",,36178,34262,72.94%,69.07%,,0.0,0.0,0.00%,0.00%,
Telford,1999-01-18,2024-02-15,40262,Custom,, ,366,, ,39951.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Tendring,1999-07-29,2024-02-15,40816,Idox,Scraper Gen1,part,367,idox.tendringdc.gov.uk/, ,40644.0,,40272.0,36594.0,99.08%,90.04%,,2009,,40272.0,36594.0,99.08%,90.04%,,0.0,0.0,0.00%,0.00%,
TestValley,2002-05-28,2024-02-15,53141,Idox,Scraper Gen1 (IP rotation 218),part,368,view-applications.testvalley.gov.uk, ,52911.0,,52748,43688,99.69%,82.57%,,- final check,,52752,43688,99.70%,82.57%,,4.0,0.0,0.01%,0.00%,
Tewkesbury,2002-05-23,2024-02-13,30667,Idox,Scraper Gen1, ,369,, ,30590.0,,30519,30114,99.77%,98.44%,1,-,,30519,30114,99.77%,98.44%,,0.0,0.0,0.00%,0.00%,
Thanet,1999-01-24,2024-02-13,33024,Idox,Scraper Gen1, ,370,, ,32929.0,,32833,30328,99.71%,92.10%,,-,,32833,30328,99.71%,92.10%,,0.0,0.0,0.00%,0.00%,
ThreeRivers,2002-05-27,2024-02-15,43322,Idox,Scraper Gen1,try with oxylabs,371,www3.threerivers.gov.uk/, ,43168.0,,32968.0,29100.0,76.37%,67.41%,,2017-2023,,32968.0,29100.0,76.37%,67.41%,,0.0,0.0,0.00%,0.00%,
Thurrock,2002-05-24,2024-02-15,29549,Idox,Scraper Gen1, ,372,, ,29416.0,,29295,28767,99.59%,97.79%,,-,,29295,28767,99.59%,97.79%,,0.0,0.0,0.00%,0.00%,
Tonbridge,1999-07-09,2024-02-14,54246,Agile,, ,373,, ,54072.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
